rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity
1,Finland,Western Europe,7.769,1.34,0.986,0.596,0.393,0.153
2,Denmark,Western Europe,7.6,1.383,0.996,0.592,0.41,0.252
3,Norway,Western Europe,7.554,1.488,1.028,0.603,0.341,0.271
4,Iceland,Western Europe,7.494,1.38,1.026,0.591,0.118,0.354
5,Netherlands,Western Europe,7.488,1.396,0.999,0.557,0.298,0.322
6,Switzerland,Western Europe,7.48,1.452,1.052,0.572,0.343,0.263
7,Sweden,Western Europe,7.343,1.387,1.009,0.574,0.373,0.267
8,New Zealand,Australia and New Zealand,7.307,1.303,1.026,0.585,0.38,0.33
9,Canada,North America,7.278,1.365,1.039,0.584,0.308,0.285
10,Austria,Western Europe,7.246,1.376,1.016,0.532,0.226,0.244
11,Australia,Australia and New Zealand,7.228,1.372,1.036,0.557,0.29,0.332
12,Costa Rica,Latin America and Caribbean,7.167,1.034,0.963,0.558,0.093,0.144
13,Israel,Middle East and Northern Africa,7.139,1.276,1.029,0.371,0.082,0.261
14,Luxembourg,Western Europe,7.09,1.609,1.012,0.526,0.316,0.194
15,United Kingdom,Western Europe,7.054,1.333,0.996,0.45,0.278,0.348
16,Ireland,Western Europe,7.021,1.499,0.999,0.516,0.31,0.298
17,Germany,Western Europe,6.985,1.373,0.987,0.495,0.265,0.261
18,Belgium,Western Europe,6.923,1.356,0.986,0.473,0.21,0.16
19,United States,North America,6.892,1.433,0.874,0.454,0.128,0.28
20,Czech Republic,Central and Eastern Europe,6.852,1.269,0.92,0.457,0.036,0.046
21,United Arab Emirates,Middle East and Northern Africa,6.825,1.503,0.825,0.598,0.182,0.262
22,Malta,Western Europe,6.726,1.3,0.999,0.564,0.151,0.375
23,Mexico,Latin America and Caribbean,6.595,1.07,0.861,0.433,0.073,0.074
24,France,Western Europe,6.592,1.324,1.045,0.436,0.183,0.111
25,Taiwan,Eastern Asia,6.446,1.368,0.914,0.351,0.097,0.242
26,Chile,Latin America and Caribbean,6.444,1.159,0.92,0.357,0.056,0.187
27,Guatemala,Latin America and Caribbean,6.436,0.8,0.746,0.535,0.078,0.175
28,Saudi Arabia,Middle East and Northern Africa,6.375,1.403,0.795,0.439,0.132,0.08
29,Qatar,Middle East and Northern Africa,6.374,1.684,0.871,0.555,0.167,0.22
30,Spain,Western Europe,6.354,1.286,1.062,0.362,0.079,0.153
31,Panama,Latin America and Caribbean,6.321,1.149,0.91,0.516,0.054,0.109
32,Brazil,Latin America and Caribbean,6.3,1.004,0.802,0.39,0.086,0.099
33,Uruguay,Latin America and Caribbean,6.293,1.124,0.891,0.523,0.15,0.127
34,Singapore,Southeastern Asia,6.262,1.572,1.141,0.556,0.453,0.271
35,El Salvador,Latin America and Caribbean,6.253,0.794,0.789,0.43,0.074,0.093
36,Italy,Western Europe,6.223,1.294,1.039,0.231,0.03,0.158
37,Bahrain,Middle East and Northern Africa,6.199,1.362,0.871,0.536,0.11,0.255
38,Slovakia,Central and Eastern Europe,6.198,1.246,0.881,0.334,0.014,0.121
39,Trinidad & Tobago,Latin America and Caribbean,6.192,1.231,0.713,0.489,0.016,0.185
40,Poland,Central and Eastern Europe,6.182,1.206,0.884,0.483,0.05,0.117
41,Uzbekistan,Central and Eastern Europe,6.174,0.745,0.756,0.631,0.24,0.322
42,Lithuania,Central and Eastern Europe,6.149,1.238,0.818,0.291,0.042,0.043
43,Colombia,Latin America and Caribbean,6.125,0.985,0.841,0.47,0.034,0.099
44,Slovenia,Central and Eastern Europe,6.118,1.258,0.953,0.564,0.057,0.144
45,Nicaragua,Latin America and Caribbean,6.105,0.694,0.835,0.435,0.127,0.2
46,Kosovo,Central and Eastern Europe,6.1,0.882,0.758,0.489,0.006,0.262
47,Argentina,Latin America and Caribbean,6.086,1.092,0.881,0.471,0.05,0.066
48,Romania,Central and Eastern Europe,6.07,1.162,0.825,0.462,0.005,0.083
49,Cyprus,Western Europe,6.046,1.263,1.042,0.406,0.041,0.19
50,Ecuador,Latin America and Caribbean,6.028,0.912,0.868,0.498,0.087,0.126
51,Kuwait,Middle East and Northern Africa,6.021,1.5,0.808,0.493,0.097,0.142
52,Thailand,Southeastern Asia,6.008,1.05,0.828,0.557,0.028,0.359
53,Latvia,Central and Eastern Europe,5.94,1.187,0.812,0.264,0.064,0.075
54,South Korea,Eastern Asia,5.895,1.301,1.036,0.159,0.056,0.175
55,Estonia,Central and Eastern Europe,5.893,1.237,0.874,0.495,0.161,0.103
56,Jamaica,Latin America and Caribbean,5.89,0.831,0.831,0.49,0.028,0.107
57,Mauritius,Sub-Saharan Africa,5.888,1.12,0.798,0.498,0.06,0.215
58,Japan,Eastern Asia,5.886,1.327,1.088,0.445,0.14,0.069
59,Honduras,Latin America and Caribbean,5.86,0.642,0.828,0.507,0.078,0.246
60,Kazakhstan,Central and Eastern Europe,5.809,1.173,0.729,0.41,0.096,0.146
61,Bolivia,Latin America and Caribbean,5.779,0.776,0.706,0.511,0.064,0.137
62,Hungary,Central and Eastern Europe,5.758,1.201,0.828,0.199,0.02,0.081
63,Paraguay,Latin America and Caribbean,5.743,0.855,0.777,0.514,0.08,0.184
64,Northern Cyprus,Middle East and Northern Africa,5.718,1.263,1.042,0.417,0.162,0.191
65,Peru,Latin America and Caribbean,5.697,0.96,0.854,0.455,0.027,0.083
66,Portugal,Western Europe,5.693,1.221,0.999,0.508,0.025,0.047
67,Pakistan,Southern Asia,5.653,0.677,0.535,0.313,0.098,0.22
68,Russia,Central and Eastern Europe,5.648,1.183,0.726,0.334,0.031,0.082
69,Philippines,Southeastern Asia,5.631,0.807,0.657,0.558,0.107,0.117
70,Serbia,Central and Eastern Europe,5.603,1.004,0.854,0.282,0.039,0.137
71,Moldova,Central and Eastern Europe,5.529,0.685,0.739,0.245,0,0.181
72,Libya,Middle East and Northern Africa,5.525,1.044,0.673,0.416,0.152,0.133
73,Montenegro,Central and Eastern Europe,5.523,1.051,0.871,0.197,0.08,0.142
74,Tajikistan,Central and Eastern Europe,5.467,0.493,0.718,0.389,0.144,0.23
75,Croatia,Central and Eastern Europe,5.432,1.155,0.914,0.296,0.022,0.119
76,Hong Kong,Eastern Asia,5.43,1.438,1.122,0.44,0.287,0.258
77,Dominican Republic,Latin America and Caribbean,5.425,1.015,0.779,0.497,0.101,0.113
78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,0.845,0.212,0.006,0.263
79,Turkey,Middle East and Northern Africa,5.373,1.183,0.808,0.195,0.106,0.083
80,Malaysia,Southeastern Asia,5.339,1.221,0.828,0.508,0.024,0.26
81,Belarus,Central and Eastern Europe,5.323,1.067,0.789,0.235,0.142,0.094
82,Greece,Western Europe,5.287,1.181,0.999,0.067,0.034,0
83,Mongolia,Eastern Asia,5.285,0.948,0.667,0.317,0.038,0.235
84,North Macedonia,Central and Eastern Europe,5.274,0.983,0.838,0.345,0.034,0.185
85,Nigeria,Sub-Saharan Africa,5.265,0.696,0.245,0.426,0.041,0.215
86,Kyrgyzstan,Central and Eastern Europe,5.261,0.551,0.723,0.508,0.023,0.3
87,Turkmenistan,Central and Eastern Europe,5.247,1.052,0.657,0.394,0.028,0.244
88,Algeria,Middle East and Northern Africa,5.211,1.002,0.785,0.086,0.114,0.073
89,Morocco,Middle East and Northern Africa,5.208,0.801,0.782,0.418,0.076,0.036
90,Azerbaijan,Central and Eastern Europe,5.208,1.043,0.769,0.351,0.182,0.035
91,Lebanon,Middle East and Northern Africa,5.197,0.987,0.815,0.216,0.027,0.166
92,Indonesia,Southeastern Asia,5.192,0.931,0.66,0.491,0.028,0.498
93,China,Eastern Asia,5.191,1.029,0.893,0.521,0.1,0.058
94,Vietnam,Southeastern Asia,5.175,0.741,0.851,0.543,0.073,0.147
95,Bhutan,Southern Asia,5.082,0.813,0.604,0.457,0.167,0.37
96,Cameroon,Sub-Saharan Africa,5.044,0.549,0.331,0.381,0.037,0.187
97,Bulgaria,Central and Eastern Europe,5.011,1.092,0.815,0.311,0.004,0.081
98,Ghana,Sub-Saharan Africa,4.996,0.611,0.486,0.381,0.04,0.245
99,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.232,0.352,0.09,0.154
100,Nepal,Southern Asia,4.913,0.446,0.677,0.439,0.089,0.285
101,Jordan,Middle East and Northern Africa,4.906,0.837,0.815,0.383,0.13,0.11
102,Benin,Sub-Saharan Africa,4.883,0.393,0.397,0.349,0.082,0.175
103,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.508,0.372,0.093,0.105
104,Gabon,Sub-Saharan Africa,4.799,1.057,0.571,0.295,0.055,0.043
105,Laos,Southeastern Asia,4.796,0.764,0.551,0.547,0.164,0.266
106,South Africa,Sub-Saharan Africa,4.722,0.96,0.469,0.389,0.055,0.13
107,Albania,Central and Eastern Europe,4.719,0.947,0.874,0.383,0.027,0.178
108,Venezuela,Latin America and Caribbean,4.707,0.96,0.805,0.154,0.047,0.064
109,Cambodia,Southeastern Asia,4.7,0.574,0.637,0.609,0.062,0.232
110,Palestinian Territories,Middle East and Northern Africa,4.696,0.657,0.672,0.225,0.066,0.103
111,Senegal,Sub-Saharan Africa,4.681,0.45,0.571,0.292,0.072,0.153
112,Somalia,Sub-Saharan Africa,4.668,0,0.268,0.559,0.27,0.243
113,Namibia,Sub-Saharan Africa,4.639,0.879,0.477,0.401,0.056,0.07
114,Niger,Sub-Saharan Africa,4.628,0.138,0.366,0.318,0.102,0.188
115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,0.38,0.255,0.113,0.177
116,Armenia,Central and Eastern Europe,4.559,0.85,0.815,0.283,0.064,0.095
117,Iran,Middle East and Northern Africa,4.548,1.1,0.785,0.305,0.125,0.27
118,Guinea,Sub-Saharan Africa,4.534,0.38,0.375,0.332,0.086,0.207
119,Georgia,Central and Eastern Europe,4.519,0.886,0.752,0.346,0.164,0.043
120,Gambia,Sub-Saharan Africa,4.516,0.308,0.428,0.382,0.167,0.269
121,Kenya,Sub-Saharan Africa,4.509,0.512,0.581,0.431,0.053,0.372
122,Mauritania,Sub-Saharan Africa,4.49,0.57,0.489,0.066,0.088,0.106
123,Mozambique,Sub-Saharan Africa,4.466,0.204,0.39,0.494,0.138,0.197
124,Tunisia,Middle East and Northern Africa,4.461,0.921,0.815,0.167,0.055,0.059
125,Bangladesh,Southern Asia,4.456,0.562,0.723,0.527,0.143,0.166
126,Iraq,Middle East and Northern Africa,4.437,1.043,0.574,0.241,0.089,0.148
127,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,0.357,0.269,0.053,0.212
128,Mali,Sub-Saharan Africa,4.39,0.385,0.308,0.327,0.052,0.153
129,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.242,0.309,0.045,0.252
130,Sri Lanka,Southern Asia,4.366,0.949,0.831,0.47,0.047,0.244
131,Myanmar,Southeastern Asia,4.36,0.71,0.555,0.525,0.172,0.566
132,Chad,Sub-Saharan Africa,4.35,0.35,0.192,0.174,0.078,0.198
133,Ukraine,Central and Eastern Europe,4.332,0.82,0.739,0.178,0.01,0.187
134,Ethiopia,Sub-Saharan Africa,4.286,0.336,0.532,0.344,0.1,0.209
135,Swaziland,Sub-Saharan Africa,4.212,0.811,0,0.313,0.135,0.074
136,Uganda,Sub-Saharan Africa,4.189,0.332,0.443,0.356,0.06,0.252
137,Egypt,Middle East and Northern Africa,4.166,0.913,0.644,0.241,0.067,0.076
138,Zambia,Sub-Saharan Africa,4.107,0.578,0.426,0.431,0.087,0.247
