country,score_2015,score_2016,score_2017,score_2018,score_2019
Afghanistan,3.575,3.36,3.79399991,3.632,3.203
Albania,4.959,4.655,4.64400005,4.586,4.719
Algeria,5.605,6.355,5.87200022,5.295,5.211
Angola,4.033,3.866,3.79500008,3.795,
Argentina,6.574,6.65,6.59899998,6.388,6.086
Armenia,4.35,4.36,4.37599993,4.321,4.559
Australia,7.284,7.313,7.28399992,7.272,7.228
Austria,7.2,7.119,7.00600004,7.139,7.246
Azerbaijan,5.212,5.291,5.23400021,5.201,5.208
Bahrain,5.96,6.218,6.08699989,6.105,6.199
Bangladesh,4.694,4.643,4.6079998,4.5,4.456
Belarus,5.813,5.802,5.56899977,5.483,5.323
Belgium,6.937,6.929,6.89099979,6.927,6.923
Belize,,5.956,5.95599985,5.956,
Benin,3.34,3.484,3.65700007,4.141,4.883
Bhutan,5.253,5.196,5.01100016,5.082,5.082
Bolivia,5.89,5.822,5.82299995,5.752,5.779
Bosnia and Herzegovina,4.949,5.163,5.18200016,5.129,5.386
Botswana,4.332,3.974,3.76600003,3.59,3.488
Brazil,6.983,6.952,6.63500023,6.419,6.3
Bulgaria,4.218,4.217,4.71400023,4.933,5.011
Burkina Faso,3.587,3.739,4.03200007,4.424,4.587
Burundi,2.905,2.905,2.90499997,2.905,3.775
Cambodia,3.819,3.907,4.16800022,4.433,4.7
Cameroon,4.252,4.513,4.69500017,4.975,5.044
Canada,7.427,7.404,7.31599999,7.328,7.278
Central African Republic,3.678,,2.69300008,3.083,3.083
Chad,3.667,3.763,3.93600011,4.301,4.35
Chile,6.67,6.705,6.65199995,6.476,6.444
China,5.14,5.245,5.27299976,5.246,5.191
Colombia,6.477,6.481,6.35699987,6.26,6.125
Comoros,3.956,3.956,,,3.973
Congo (Brazzaville),3.989,4.236,4.29099989,4.559,4.812
Congo (Kinshasa),4.517,4.272,4.28000021,4.245,4.418
Costa Rica,7.226,7.087,7.079,7.072,7.167
Croatia,5.759,5.488,5.29300022,5.321,5.432
Cyprus,5.689,5.546,5.62099981,5.762,6.046
Czech Republic,6.505,6.596,6.60900021,6.711,6.852
Denmark,7.527,7.526,7.52199984,7.555,7.6
Djibouti,4.369,,,,
Dominican Republic,4.885,5.155,5.23000002,5.302,5.425
Ecuador,5.975,5.976,6.0079999,5.973,6.028
Egypt,4.194,4.362,4.73500013,4.419,4.166
El Salvador,6.13,6.068,6.00299978,6.167,6.253
Estonia,5.429,5.517,5.61100006,5.739,5.893
Ethiopia,4.512,4.508,4.46000004,4.35,4.286
Finland,7.406,7.413,7.46899986,7.632,7.769
France,6.575,6.478,6.44199991,6.489,6.592
Gabon,3.896,4.121,4.46500015,4.758,4.799
Gambia,,,,,4.516
Georgia,4.297,4.252,4.28599978,4.34,4.519
Germany,6.75,6.994,6.95100021,6.965,6.985
Ghana,4.633,4.276,4.11999989,4.657,4.996
Greece,4.857,5.033,5.22700024,5.358,5.287
Guatemala,6.123,6.324,6.454,6.382,6.436
Guinea,3.656,3.607,3.50699997,3.964,4.534
Haiti,4.518,4.028,3.60299993,3.582,3.597
Honduras,4.788,4.871,5.18100023,5.504,5.86
Hong Kong,5.474,5.458,,5.43,5.43
