rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,social_support
1,Finland,Western Europe,7.769,1.34,0.986,0.596,0.39299999999999996,0.153,1.587
2,Denmark,Western Europe,7.6,1.383,0.996,0.5920000000000001,0.41,0.252,1.5730000000000002
3,Norway,Western Europe,7.553999999999999,1.4880000000000002,1.028,0.603,0.341,0.271,1.5819999999999999
4,Iceland,Western Europe,7.494,1.38,1.026,0.591,0.11800000000000001,0.354,1.624
5,Netherlands,Western Europe,7.4879999999999995,1.396,0.9990000000000001,0.557,0.298,0.322,1.5219999999999998
6,Switzerland,Western Europe,7.48,1.452,1.052,0.5720000000000001,0.34299999999999997,0.263,1.526
7,Sweden,Western Europe,7.343,1.3869999999999998,1.0090000000000001,0.574,0.373,0.267,1.4869999999999999
8,New Zealand,Australia and New Zealand,7.307,1.3030000000000002,1.026,0.585,0.38,0.33,1.557
9,Canada,North America,7.278,1.365,1.0390000000000001,0.584,0.308,0.285,1.505
10,Austria,Western Europe,7.246,1.376,1.016,0.532,0.226,0.244,1.475
11,Australia,Australia and New Zealand,7.228,1.3719999999999999,1.036,0.557,0.29,0.332,1.548
12,Costa Rica,Latin America and Caribbean,7.167000000000001,1.034,0.963,0.5579999999999999,0.09300000000000001,0.14400000000000002,1.4409999999999998
13,Israel,Middle East and Northern Africa,7.138999999999999,1.276,1.0290000000000001,0.371,0.08199999999999999,0.261,1.455
14,Luxembourg,Western Europe,7.09,1.609,1.012,0.526,0.316,0.19399999999999998,1.479
15,United Kingdom,Western Europe,7.053999999999999,1.3330000000000002,0.996,0.45,0.278,0.348,1.538
16,Ireland,Western Europe,7.021,1.499,0.9990000000000001,0.516,0.31,0.298,1.5530000000000002
17,Germany,Western Europe,6.985,1.3730000000000002,0.987,0.495,0.265,0.261,1.454
18,Belgium,Western Europe,6.922999999999999,1.3559999999999999,0.986,0.473,0.21,0.16,1.504
19,United States,North America,6.892,1.433,0.8740000000000001,0.45399999999999996,0.128,0.28,1.4569999999999999
20,Czech Republic,Central and Eastern Europe,6.852,1.2690000000000001,0.92,0.457,0.036000000000000004,0.046,1.4869999999999999
21,United Arab Emirates,Middle East and Northern Africa,6.825,1.5030000000000001,0.825,0.598,0.182,0.262,1.31
22,Malta,Western Europe,6.726,1.3,0.9990000000000001,0.564,0.151,0.375,1.52
23,Mexico,Latin America and Caribbean,6.595,1.07,0.861,0.433,0.073,0.07400000000000001,1.3230000000000002
24,France,Western Europe,6.5920000000000005,1.324,1.045,0.436,0.183,0.111,1.472
25,Taiwan,Eastern Asia,6.446000000000001,1.368,0.914,0.35100000000000003,0.09699999999999999,0.242,1.43
26,Chile,Latin America and Caribbean,6.444,1.159,0.92,0.35700000000000004,0.055999999999999994,0.187,1.369
27,Guatemala,Latin America and Caribbean,6.436,0.8,0.746,0.535,0.078,0.175,1.2690000000000001
28,Saudi Arabia,Middle East and Northern Africa,6.375,1.403,0.795,0.439,0.132,0.08,1.357
29,Qatar,Middle East and Northern Africa,6.374,1.6840000000000002,0.871,0.555,0.16699999999999998,0.22,1.3130000000000002
30,Spain,Western Europe,6.354,1.286,1.062,0.36200000000000004,0.079,0.153,1.484
31,Panama,Latin America and Caribbean,6.321000000000001,1.149,0.91,0.516,0.054000000000000006,0.109,1.442
32,Brazil,Latin America and Caribbean,6.3,1.004,0.802,0.39,0.086,0.099,1.439
33,Uruguay,Latin America and Caribbean,6.292999999999999,1.124,0.8909999999999999,0.523,0.15,0.127,1.465
34,Singapore,Southeastern Asia,6.2620000000000005,1.5719999999999998,1.141,0.556,0.45299999999999996,0.271,1.463
35,El Salvador,Latin America and Caribbean,6.252999999999999,0.794,0.789,0.43,0.07400000000000001,0.09300000000000001,1.242
36,Italy,Western Europe,6.223,1.294,1.0390000000000001,0.231,0.03,0.158,1.4880000000000002
37,Bahrain,Middle East and Northern Africa,6.199,1.3619999999999999,0.871,0.536,0.11,0.255,1.368
38,Slovakia,Central and Eastern Europe,6.1979999999999995,1.246,0.8809999999999999,0.33399999999999996,0.013999999999999999,0.121,1.504
39,Trinidad & Tobago,Latin America and Caribbean,6.192,1.2309999999999999,0.713,0.489,0.016,0.185,1.4769999999999999
40,Poland,Central and Eastern Europe,6.182,1.206,0.884,0.483,0.05,0.11699999999999999,1.4380000000000002
41,Uzbekistan,Central and Eastern Europe,6.1739999999999995,0.745,0.7559999999999999,0.631,0.24,0.322,1.5290000000000001
42,Lithuania,Central and Eastern Europe,6.149,1.238,0.818,0.29100000000000004,0.042,0.043,1.515
43,Colombia,Latin America and Caribbean,6.125,0.985,0.841,0.47,0.034,0.099,1.41
44,Slovenia,Central and Eastern Europe,6.117999999999999,1.258,0.953,0.564,0.057,0.14400000000000002,1.5230000000000001
45,Nicaragua,Latin America and Caribbean,6.105,0.6940000000000001,0.835,0.435,0.127,0.2,1.325
46,Kosovo,Central and Eastern Europe,6.1,0.882,0.758,0.489,0.006,0.262,1.232
47,Argentina,Latin America and Caribbean,6.086,1.092,0.8809999999999999,0.47100000000000003,0.05,0.066,1.432
48,Romania,Central and Eastern Europe,6.07,1.162,0.825,0.462,0.005,0.083,1.232
49,Cyprus,Western Europe,6.046,1.263,1.042,0.406,0.040999999999999995,0.19,1.2229999999999999
50,Ecuador,Latin America and Caribbean,6.028,0.912,0.868,0.498,0.087,0.126,1.3119999999999998
51,Kuwait,Middle East and Northern Africa,6.021,1.5,0.8079999999999999,0.493,0.09699999999999999,0.142,1.319
52,Thailand,Southeastern Asia,6.007999999999999,1.05,0.828,0.557,0.027999999999999997,0.359,1.409
53,Latvia,Central and Eastern Europe,5.94,1.187,0.812,0.264,0.064,0.075,1.465
54,South Korea,Eastern Asia,5.895,1.301,1.036,0.159,0.055999999999999994,0.175,1.219
55,Estonia,Central and Eastern Europe,5.893,1.237,0.8740000000000001,0.495,0.161,0.10300000000000001,1.528
56,Jamaica,Latin America and Caribbean,5.89,0.831,0.831,0.49,0.027999999999999997,0.107,1.4780000000000002
57,Mauritius,Sub-Saharan Africa,5.888,1.12,0.7979999999999999,0.498,0.06,0.215,1.402
58,Japan,Eastern Asia,5.886,1.327,1.088,0.445,0.14,0.069,1.419
59,Honduras,Latin America and Caribbean,5.86,0.642,0.828,0.507,0.078,0.24600000000000002,1.236
60,Kazakhstan,Central and Eastern Europe,5.809,1.173,0.7290000000000001,0.41,0.096,0.146,1.508
61,Bolivia,Latin America and Caribbean,5.779,0.7759999999999999,0.706,0.511,0.064,0.13699999999999998,1.209
62,Hungary,Central and Eastern Europe,5.757999999999999,1.2009999999999998,0.828,0.19899999999999998,0.02,0.081,1.41
63,Paraguay,Latin America and Caribbean,5.742999999999999,0.855,0.777,0.514,0.08,0.184,1.475
64,Northern Cyprus,Middle East and Northern Africa,5.718,1.263,1.042,0.41700000000000004,0.162,0.191,1.252
65,Peru,Latin America and Caribbean,5.697,0.96,0.8540000000000001,0.455,0.027000000000000003,0.083,1.274
66,Portugal,Western Europe,5.693,1.2209999999999999,0.9990000000000001,0.508,0.025,0.047,1.431
67,Pakistan,Southern Asia,5.653,0.677,0.535,0.313,0.098,0.22,0.8859999999999999
68,Russia,Central and Eastern Europe,5.648,1.183,0.726,0.33399999999999996,0.031,0.08199999999999999,1.452
69,Philippines,Southeastern Asia,5.631,0.807,0.657,0.5579999999999999,0.107,0.11699999999999999,1.2930000000000001
70,Serbia,Central and Eastern Europe,5.603,1.004,0.8540000000000001,0.282,0.039,0.13699999999999998,1.383
71,Moldova,Central and Eastern Europe,5.529,0.685,0.7390000000000001,0.245,0.0,0.18100000000000002,1.328
72,Libya,Middle East and Northern Africa,5.525,1.044,0.6729999999999999,0.41600000000000004,0.152,0.133,1.3030000000000002
73,Montenegro,Central and Eastern Europe,5.523,1.051,0.871,0.19699999999999998,0.08,0.142,1.361
74,Tajikistan,Central and Eastern Europe,5.4670000000000005,0.493,0.718,0.389,0.14400000000000002,0.23,1.0979999999999999
75,Croatia,Central and Eastern Europe,5.432,1.155,0.914,0.29600000000000004,0.022000000000000002,0.11900000000000001,1.266
76,Hong Kong,Eastern Asia,5.43,1.4380000000000002,1.122,0.44,0.287,0.258,1.2770000000000001
77,Dominican Republic,Latin America and Caribbean,5.425,1.015,0.779,0.49700000000000005,0.10099999999999999,0.113,1.401
78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,0.845,0.212,0.006,0.263,1.212
79,Turkey,Middle East and Northern Africa,5.372999999999999,1.183,0.8079999999999999,0.195,0.106,0.083,1.36
80,Malaysia,Southeastern Asia,5.3389999999999995,1.2209999999999999,0.828,0.508,0.024,0.26,1.171
81,Belarus,Central and Eastern Europe,5.3229999999999995,1.067,0.789,0.235,0.142,0.094,1.465
82,Greece,Western Europe,5.287000000000001,1.181,0.9990000000000001,0.067,0.034,0.0,1.156
83,Mongolia,Eastern Asia,5.285,0.948,0.667,0.317,0.038,0.235,1.531
84,North Macedonia,Central and Eastern Europe,5.274,0.983,0.838,0.345,0.034,0.185,1.294
85,Nigeria,Sub-Saharan Africa,5.265,0.696,0.245,0.426,0.040999999999999995,0.215,1.111
86,Kyrgyzstan,Central and Eastern Europe,5.261,0.551,0.723,0.508,0.023,0.3,1.4380000000000002
87,Turkmenistan,Central and Eastern Europe,5.247000000000001,1.052,0.657,0.39399999999999996,0.027999999999999997,0.244,1.538
88,Algeria,Middle East and Northern Africa,5.211,1.002,0.785,0.086,0.114,0.073,1.16
89,Morocco,Middle East and Northern Africa,5.207999999999999,0.8009999999999999,0.782,0.418,0.076,0.036000000000000004,0.782
90,Azerbaijan,Central and Eastern Europe,5.207999999999999,1.043,0.769,0.35100000000000003,0.182,0.035,1.147
91,Lebanon,Middle East and Northern Africa,5.197,0.987,0.815,0.21600000000000003,0.027000000000000003,0.166,1.224
92,Indonesia,Southeastern Asia,5.192,0.9309999999999999,0.66,0.491,0.027999999999999997,0.498,1.203
93,China,Eastern Asia,5.191,1.0290000000000001,0.893,0.521,0.1,0.057999999999999996,1.125
94,Vietnam,Southeastern Asia,5.175,0.741,0.851,0.5429999999999999,0.073,0.147,1.3459999999999999
95,Bhutan,Southern Asia,5.082,0.813,0.604,0.457,0.16699999999999998,0.37,1.321
96,Cameroon,Sub-Saharan Africa,5.044,0.5489999999999999,0.331,0.381,0.037000000000000005,0.187,0.91
97,Bulgaria,Central and Eastern Europe,5.011,1.092,0.815,0.311,0.004,0.081,1.5130000000000001
98,Ghana,Sub-Saharan Africa,4.996,0.611,0.486,0.381,0.04,0.245,0.868
99,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.23199999999999998,0.35200000000000004,0.09,0.154,0.8079999999999999
100,Nepal,Southern Asia,4.913,0.446,0.677,0.439,0.08900000000000001,0.285,1.226
101,Jordan,Middle East and Northern Africa,4.906000000000001,0.8370000000000001,0.815,0.38299999999999995,0.13,0.11,1.225
102,Benin,Sub-Saharan Africa,4.883,0.39299999999999996,0.397,0.349,0.08199999999999999,0.175,0.43700000000000006
103,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.6729999999999999,0.508,0.37200000000000005,0.09300000000000001,0.105,0.799
104,Gabon,Sub-Saharan Africa,4.7989999999999995,1.057,0.5710000000000001,0.295,0.055,0.043,1.183
105,Laos,Southeastern Asia,4.796,0.764,0.551,0.547,0.16399999999999998,0.266,1.03
106,South Africa,Sub-Saharan Africa,4.7219999999999995,0.96,0.469,0.389,0.055,0.13,1.351
107,Albania,Central and Eastern Europe,4.718999999999999,0.9470000000000001,0.8740000000000001,0.38299999999999995,0.027000000000000003,0.17800000000000002,0.848
108,Venezuela,Latin America and Caribbean,4.707,0.96,0.805,0.154,0.047,0.064,1.4269999999999998
109,Cambodia,Southeastern Asia,4.7,0.574,0.637,0.609,0.062,0.23199999999999998,1.122
110,Palestinian Territories,Middle East and Northern Africa,4.696000000000001,0.657,0.672,0.225,0.066,0.10300000000000001,1.247
111,Senegal,Sub-Saharan Africa,4.681,0.45,0.5710000000000001,0.292,0.07200000000000001,0.153,1.1340000000000001
112,Somalia,Sub-Saharan Africa,4.668,0.0,0.268,0.5589999999999999,0.27,0.243,0.698
113,Namibia,Sub-Saharan Africa,4.638999999999999,0.879,0.47700000000000004,0.401,0.055999999999999994,0.07,1.3130000000000002
114,Niger,Sub-Saharan Africa,4.628,0.138,0.366,0.318,0.102,0.188,0.774
115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,0.38,0.255,0.113,0.177,1.056
116,Armenia,Central and Eastern Europe,4.559,0.85,0.815,0.28300000000000003,0.064,0.095,1.055
117,Iran,Middle East and Northern Africa,4.548,1.1,0.785,0.305,0.125,0.27,0.8420000000000001
118,Guinea,Sub-Saharan Africa,4.534,0.38,0.375,0.332,0.086,0.207,0.8290000000000001
119,Georgia,Central and Eastern Europe,4.519,0.8859999999999999,0.752,0.34600000000000003,0.16399999999999998,0.043,0.6659999999999999
120,Gambia,Sub-Saharan Africa,4.516,0.308,0.428,0.382,0.16699999999999998,0.26899999999999996,0.9390000000000001
121,Kenya,Sub-Saharan Africa,4.5089999999999995,0.512,0.581,0.431,0.053,0.37200000000000005,0.983
122,Mauritania,Sub-Saharan Africa,4.49,0.57,0.489,0.066,0.08800000000000001,0.106,1.167
123,Mozambique,Sub-Saharan Africa,4.466,0.204,0.39,0.494,0.138,0.19699999999999998,0.986
124,Tunisia,Middle East and Northern Africa,4.461,0.9209999999999999,0.815,0.16699999999999998,0.055,0.059000000000000004,1.0
125,Bangladesh,Southern Asia,4.456,0.562,0.723,0.527,0.14300000000000002,0.166,0.9279999999999999
126,Iraq,Middle East and Northern Africa,4.437,1.043,0.574,0.24100000000000002,0.08900000000000001,0.14800000000000002,0.98
127,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,0.35700000000000004,0.26899999999999996,0.053,0.212,1.125
128,Mali,Sub-Saharan Africa,4.39,0.385,0.308,0.327,0.052000000000000005,0.153,1.105
129,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.242,0.309,0.045,0.252,0.841
130,Sri Lanka,Southern Asia,4.3660000000000005,0.9490000000000001,0.831,0.47,0.047,0.244,1.265
131,Myanmar,Southeastern Asia,4.36,0.71,0.555,0.525,0.172,0.5660000000000001,1.181
132,Chad,Sub-Saharan Africa,4.35,0.35,0.192,0.174,0.078,0.198,0.7659999999999999
133,Ukraine,Central and Eastern Europe,4.332,0.82,0.7390000000000001,0.17800000000000002,0.01,0.187,1.39
134,Ethiopia,Sub-Saharan Africa,4.2860000000000005,0.336,0.532,0.344,0.1,0.209,1.033
135,Swaziland,Sub-Saharan Africa,4.212,0.8109999999999999,0.0,0.313,0.135,0.07400000000000001,1.149
136,Uganda,Sub-Saharan Africa,4.189,0.332,0.44299999999999995,0.35600000000000004,0.06,0.252,1.069
137,Egypt,Middle East and Northern Africa,4.166,0.9129999999999999,0.644,0.24100000000000002,0.067,0.076,1.0390000000000001
138,Zambia,Sub-Saharan Africa,4.107,0.578,0.426,0.431,0.087,0.247,1.058
139,Togo,Sub-Saharan Africa,4.085,0.275,0.41,0.293,0.085,0.177,0.5720000000000001
140,India,Southern Asia,4.015,0.755,0.588,0.498,0.085,0.2,0.765
141,Liberia,Sub-Saharan Africa,3.975,0.073,0.44299999999999995,0.37,0.033,0.233,0.922
142,Comoros,Sub-Saharan Africa,3.9730000000000003,0.27399999999999997,0.505,0.142,0.078,0.275,0.757
