rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity
1,Finland,,7.632,1.305,0.874,0.681,0.393,0.202
2,Norway,,7.594,1.456,0.861,0.686,0.34,0.286
3,Denmark,,7.555,1.351,0.868,0.683,0.408,0.284
4,Iceland,,7.495,1.343,0.914,0.677,0.138,0.353
5,Switzerland,,7.487,1.42,0.927,0.66,0.357,0.256
6,Netherlands,,7.441,1.361,0.878,0.638,0.295,0.333
7,Canada,,7.328,1.33,0.896,0.653,0.291,0.321
8,New Zealand,,7.324,1.268,0.876,0.669,0.389,0.365
9,Sweden,,7.314,1.355,0.913,0.659,0.383,0.285
10,Australia,,7.272,1.34,0.91,0.647,0.302,0.361
11,United Kingdom,,7.19,1.244,0.888,0.464,0.082,0.262
12,Austria,,7.139,1.341,0.891,0.617,0.224,0.242
13,Costa Rica,,7.072,1.01,0.817,0.632,0.101,0.143
14,Ireland,,6.977,1.448,0.876,0.614,0.306,0.307
15,Germany,,6.965,1.34,0.861,0.586,0.28,0.273
16,Belgium,,6.927,1.324,0.894,0.583,0.24,0.188
17,Luxembourg,,6.91,1.576,0.896,0.632,0.321,0.196
18,United States,,6.886,1.398,0.819,0.547,0.133,0.291
19,Israel,,6.814,1.301,0.883,0.533,0.272,0.354
20,United Arab Emirates,,6.774,2.096,0.67,0.284,N/A,0.186
21,Czech Republic,,6.711,1.233,0.854,0.543,0.034,0.064
22,Malta,,6.627,1.27,0.884,0.645,0.142,0.376
23,France,,6.489,1.293,0.908,0.52,0.176,0.098
24,Mexico,,6.488,1.038,0.761,0.479,0.095,0.069
25,Chile,,6.476,1.131,0.808,0.431,0.061,0.197
26,Taiwan,,6.441,1.365,0.857,0.418,0.078,0.151
27,Panama,,6.43,1.112,0.759,0.597,0.063,0.125
28,Brazil,,6.419,0.986,0.675,0.493,0.088,0.11
29,Argentina,,6.388,1.073,0.744,0.57,0.054,0.062
30,Guatemala,,6.382,0.781,0.608,0.604,0.071,0.179
31,Uruguay,,6.379,1.093,0.771,0.625,0.155,0.13
32,Qatar,,6.374,1.649,0.748,0.654,0.171,0.256
33,Saudi Arabia,,6.371,1.379,0.633,0.509,0.127,0.098
34,Singapore,,6.343,1.529,1.008,0.631,0.457,0.261
35,Malaysia,,6.322,1.161,0.669,0.356,0.059,0.311
36,Spain,,6.31,1.251,0.965,0.449,0.074,0.142
37,Colombia,,6.26,0.96,0.635,0.531,0.039,0.099
38,Trinidad & Tobago,,6.192,1.223,0.564,0.575,0.019,0.171
39,Slovakia,,6.173,1.21,0.776,0.354,0.014,0.118
40,El Salvador,,6.167,0.806,0.639,0.461,0.082,0.065
41,Nicaragua,,6.141,0.668,0.7,0.527,0.128,0.208
42,Poland,,6.123,1.176,0.781,0.546,0.064,0.108
43,Bahrain,,6.105,1.338,0.698,0.594,0.123,0.243
44,Uzbekistan,,6.096,0.719,0.605,0.724,0.259,0.328
45,Kuwait,,6.083,1.474,0.675,0.554,0.106,0.167
46,Thailand,,6.072,1.016,0.707,0.637,0.029,0.364
47,Italy,,6,1.264,0.946,0.281,0.028,0.137
48,Ecuador,,5.973,0.889,0.736,0.556,0.12,0.114
49,Belize,,5.956,0.807,0.474,0.593,0.089,0.183
50,Lithuania,,5.952,1.197,0.716,0.35,0.006,0.026
51,Slovenia,,5.948,1.219,0.856,0.633,0.051,0.16
52,Romania,,5.945,1.116,0.726,0.528,0.001,0.088
53,Latvia,,5.933,1.148,0.671,0.363,0.066,0.092
54,Japan,,5.915,1.294,0.988,0.553,0.15,0.079
55,Mauritius,,5.891,1.09,0.684,0.584,0.05,0.245
56,Jamaica,,5.89,0.819,0.693,0.575,0.031,0.096
57,South Korea,,5.875,1.266,0.955,0.244,0.051,0.175
58,Northern Cyprus,,5.835,1.229,0.909,0.495,0.154,0.179
59,Russia,,5.81,1.151,0.599,0.399,0.025,0.065
60,Kazakhstan,,5.79,1.143,0.631,0.454,0.121,0.148
61,Cyprus,,5.762,1.229,0.909,0.423,0.035,0.202
62,Bolivia,,5.752,0.751,0.508,0.606,0.054,0.141
63,Estonia,,5.739,1.2,0.737,0.553,0.174,0.086
64,Paraguay,,5.681,0.835,0.615,0.541,0.074,0.162
65,Peru,,5.663,0.934,0.674,0.53,0.034,0.092
